,Week ended,"Total deaths, all ages"
1,2023-01-06,14983
2,2023-01-13,17381
3,2023-01-20,15804
4,2023-01-27,14137
5,2023-02-03,13412
6,2023-02-10,12672
7,2023-02-17,12031
8,2023-02-24,11952
9,2023-03-03,12049
10,2023-03-10,11410
11,2023-03-17,12133
12,2023-03-24,12052
13,2023-03-31,11584
14,2023-04-07,10089
15,2023-04-14,9978
16,2023-04-21,12420
17,2023-04-28,12152
1,2022-01-07,12262
2,2022-01-14,13311
3,2022-01-21,12776
4,2022-01-28,12401
5,2022-02-04,11862
6,2022-02-11,11558
7,2022-02-18,11271
8,2022-02-25,11150
9,2022-03-04,11225
10,2022-03-11,11227
11,2022-03-18,10927
12,2022-03-25,10745
13,2022-04-01,9840
14,2022-04-08,10687
15,2022-04-15,9919
16,2022-04-22,10680
17,2022-04-29,12441
18,2022-05-06,9941
19,2022-05-13,12048
20,2022-05-20,11520
21,2022-05-27,10860
22,2022-06-03,6825
23,2022-06-10,11742
24,2022-06-17,10844
25,2022-06-24,10836
26,2022-07-01,10357
27,2022-07-08,10232
28,2022-07-15,10515
29,2022-07-22,10978
30,2022-07-29,11013
31,2022-08-05,10698
32,2022-08-12,10355
33,2022-08-19,10982
34,2022-08-26,10942
35,2022-09-02,8868
36,2022-09-09,10753
37,2022-09-16,10673
38,2022-09-23,8751
39,2022-09-30,10960
40,2022-10-07,11207
41,2022-10-14,11699
42,2022-10-21,11938
43,2022-10-28,11245
44,2022-11-04,11795
45,2022-11-11,11538
46,2022-11-18,11579
47,2022-11-25,11483
48,2022-12-02,11307
49,2022-12-09,11694
50,2022-12-16,12389
51,2022-12-23,14530
52,2022-12-30,9517
1,2021-01-08,17751
2,2021-01-15,18042
3,2021-01-22,18676
4,2021-01-29,18448
5,2021-02-05,17192
6,2021-02-12,15354
7,2021-02-19,13809
8,2021-02-26,12614
9,2021-03-05,11592
10,2021-03-12,10987
11,2021-03-19,10311
12,2021-03-26,10045
13,2021-04-02,8201
14,2021-04-09,9098
15,2021-04-16,10438
16,2021-04-23,9941
17,2021-04-30,9692
18,2021-05-07,7986
19,2021-05-14,10164
20,2021-05-21,9860
21,2021-05-28,9628
22,2021-06-04,7778
23,2021-06-11,10204
24,2021-06-18,9459
25,2021-06-25,8690
26,2021-07-02,8808
27,2021-07-09,9752
28,2021-07-16,9697
29,2021-07-23,9744
30,2021-07-30,10135
31,2021-08-06,10187
32,2021-08-13,10372
33,2021-08-20,10013
34,2021-08-27,10268
35,2021-09-03,8797
36,2021-09-10,11035
37,2021-09-17,11009
38,2021-09-24,10684
39,2021-10-01,10510
40,2021-10-08,10807
41,2021-10-15,11177
42,2021-10-22,11308
43,2021-10-29,10987
44,2021-11-05,11550
45,2021-11-12,12050
46,2021-11-19,12103
47,2021-11-26,11467
48,2021-12-03,11659
49,2021-12-10,11930
50,2021-12-17,12400
51,2021-12-24,13013
52,2021-12-31,8477
1,2020-01-03,12254
2,2020-01-10,14058
3,2020-01-17,12990
4,2020-01-24,11856
5,2020-01-31,11612
6,2020-02-07,10986
7,2020-02-14,10944
8,2020-02-21,10841
9,2020-02-28,10816
10,2020-03-06,10895
11,2020-03-13,11019
12,2020-03-20,10645
13,2020-03-27,11141
14,2020-04-03,16387
15,2020-04-10,18516
16,2020-04-17,22351
17,2020-04-24,21997
18,2020-05-01,17953
19,2020-05-08,12657
20,2020-05-15,14573
21,2020-05-22,12288
22,2020-05-29,9824
23,2020-06-05,10709
24,2020-06-12,9976
25,2020-06-19,9339
26,2020-06-26,8979
27,2020-07-03,9140
28,2020-07-10,8690
29,2020-07-17,8823
30,2020-07-24,8891
31,2020-07-31,8946
32,2020-08-07,8945
33,2020-08-14,9392
34,2020-08-21,9631
35,2020-08-28,9032
36,2020-09-04,7739
37,2020-09-11,9811
38,2020-09-18,9523
39,2020-09-25,9634
40,2020-10-02,9945
41,2020-10-09,9954
42,2020-10-16,10534
43,2020-10-23,10739
44,2020-10-30,10887
45,2020-11-06,11812
46,2020-11-13,12254
47,2020-11-20,12535
48,2020-11-27,12456
49,2020-12-04,12303
50,2020-12-11,12292
51,2020-12-18,13011
52,2020-12-25,11520
53,2021-01-01,10069
1,2019-01-04,10955
2,2019-01-11,12609
3,2019-01-18,11860
4,2019-01-25,11740
5,2019-02-01,11297
6,2019-02-08,11660
7,2019-02-15,11824
8,2019-02-22,11295
9,2019-03-01,11044
10,2019-03-08,10898
11,2019-03-15,10567
12,2019-03-22,10402
13,2019-03-29,9867
14,2019-04-05,10126
15,2019-04-12,10291
16,2019-04-19,9025
17,2019-04-26,10059
18,2019-05-03,11207
19,2019-05-10,9055
20,2019-05-17,10272
21,2019-05-24,10284
22,2019-05-31,8260
23,2019-06-07,10140
24,2019-06-14,9445
25,2019-06-21,9458
26,2019-06-28,9511
27,2019-07-05,9062
28,2019-07-12,9179
29,2019-07-19,9080
30,2019-07-26,9112
31,2019-08-02,9271
32,2019-08-09,9122
33,2019-08-16,9093
34,2019-08-23,8994
35,2019-08-30,8242
36,2019-09-06,9695
37,2019-09-13,9513
38,2019-09-20,9440
39,2019-09-27,9517
40,2019-10-04,9799
41,2019-10-11,9973
42,2019-10-18,10156
43,2019-10-25,10021
44,2019-11-01,10164
45,2019-11-08,10697
46,2019-11-15,10650
47,2019-11-22,10882
48,2019-11-29,10958
49,2019-12-06,10816
50,2019-12-13,11188
51,2019-12-20,11926
52,2019-12-27,7533
1,2018-01-05,12723
2,2018-01-12,15050
3,2018-01-19,14256
4,2018-01-26,13935
5,2018-02-02,13285
6,2018-02-09,12495
7,2018-02-16,12246
8,2018-02-23,12142
9,2018-03-02,10854
10,2018-03-09,12997
11,2018-03-16,12788
12,2018-03-23,11913
13,2018-03-30,9941
14,2018-04-06,10794
15,2018-04-13,12301
16,2018-04-20,11223
17,2018-04-27,10306
18,2018-05-04,10153
19,2018-05-11,8624
20,2018-05-18,10141
21,2018-05-25,9636
22,2018-06-01,8147
23,2018-06-08,9950
24,2018-06-15,9343
25,2018-06-22,9256
26,2018-06-29,9212
27,2018-07-06,9258
28,2018-07-13,9293
29,2018-07-20,9127
30,2018-07-27,9141
31,2018-08-03,9161
32,2018-08-10,9319
33,2018-08-17,8830
34,2018-08-24,8978
35,2018-08-31,7865
36,2018-09-07,9445
37,2018-09-14,9191
38,2018-09-21,9305
39,2018-09-28,9150
40,2018-10-05,9503
41,2018-10-12,9649
42,2018-10-19,9864
43,2018-10-26,9603
44,2018-11-02,9529
45,2018-11-09,10151
46,2018-11-16,10193
47,2018-11-23,9957
48,2018-11-30,10033
49,2018-12-07,10287
50,2018-12-14,10550
51,2018-12-21,11116
52,2018-12-28,7131
1,2017-01-06,11991
2,2017-01-13,13715
3,2017-01-20,13610
4,2017-01-27,12877
5,2017-02-03,12485
6,2017-02-10,12269
7,2017-02-17,11644
8,2017-02-24,11794
9,2017-03-03,11248
10,2017-03-10,11077
11,2017-03-17,10697
12,2017-03-24,10325
13,2017-03-31,10027
14,2017-04-07,9939
15,2017-04-14,8493
16,2017-04-21,9644
17,2017-04-28,10908
18,2017-05-05,9064
19,2017-05-12,10693
20,2017-05-19,10288
21,2017-05-26,10040
22,2017-06-02,8332
23,2017-06-09,9766
24,2017-06-16,9367
25,2017-06-23,9627
26,2017-06-30,9334
27,2017-07-07,9263
28,2017-07-14,9376
29,2017-07-21,9113
30,2017-07-28,8882
31,2017-08-04,8941
32,2017-08-11,9038
33,2017-08-18,9299
34,2017-08-25,9382
35,2017-09-01,8149
36,2017-09-08,9497
37,2017-09-15,9454
38,2017-09-22,9534
39,2017-09-29,9689
40,2017-10-06,9778
41,2017-10-13,9940
42,2017-10-20,10031
43,2017-10-27,9739
44,2017-11-03,9984
45,2017-11-10,10346
46,2017-11-17,10275
47,2017-11-24,10621
48,2017-12-01,10538
49,2017-12-08,10781
50,2017-12-15,11217
51,2017-12-22,12517
52,2017-12-29,8487
