,Week ended,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,Eastern,London,South East,South West,Wales
1,2020-01-03,0,0,0,0,0,0,0,0,0,0
2,2020-01-10,0,0,0,0,0,0,0,0,0,0
3,2020-01-17,0,0,0,0,0,0,0,0,0,0
4,2020-01-24,0,0,0,0,0,0,0,0,0,0
5,2020-01-31,0,0,0,0,0,0,0,0,0,0
6,2020-02-07,0,0,0,0,0,0,0,0,0,0
7,2020-02-14,0,0,0,0,0,0,0,0,0,0
8,2020-02-21,0,0,0,0,0,0,0,0,0,0
9,2020-02-28,0,0,0,0,0,0,0,0,0,0
10,2020-03-06,0,0,0,0,0,0,0,0,0,0
11,2020-03-13,0,1,0,0,2,0,0,2,0,0
12,2020-03-20,1,12,5,3,14,3,44,17,1,2
13,2020-03-27,15,60,12,24,67,12,237,69,19,21
14,2020-04-03,134,418,174,185,400,283,1170,411,155,134
15,2020-04-10,288,909,374,424,807,564,1506,729,298,304
16,2020-04-17,475,1350,690,558,999,835,1818,1109,501,409
17,2020-04-24,419,1207,755,562,880,814,1406,1232,531,413
18,2020-05-01,316,910,647,438,651,631,785,966,404,281
19,2020-05-08,271,597,432,334,443,373,439,551,276,211
20,2020-05-15,248,620,452,319,382,401,365,598,239,180
21,2020-05-22,202,394,297,222,290,295,220,409,126,134
22,2020-05-29,141,282,237,180,184,204,115,269,103,105
23,2020-06-05,113,250,210,152,158,188,113,219,85,100
24,2020-06-12,71,196,136,135,104,122,71,174,48,57
25,2020-06-19,30,134,111,96,93,77,50,117,36,39
26,2020-06-26,32,120,69,89,69,59,35,85,16,30
27,2020-07-03,28,100,58,62,49,67,43,73,17,35
28,2020-07-10,8,62,47,34,48,48,28,62,7,22
29,2020-07-17,8,47,30,31,25,45,18,69,11,11
30,2020-07-24,4,39,32,35,15,23,16,40,5,7
31,2020-07-31,5,32,23,23,17,14,22,45,2,10
32,2020-08-07,5,33,16,16,13,11,8,24,2,24
33,2020-08-14,5,33,13,6,14,11,18,21,4,14
34,2020-08-21,4,33,12,21,10,7,10,24,5,11
35,2020-08-28,2,34,13,6,5,16,4,11,6,3
36,2020-09-04,5,13,10,10,9,6,2,17,2,4
37,2020-09-11,3,30,14,10,7,8,6,12,7,1
38,2020-09-18,8,39,21,14,15,8,13,11,5,5
39,2020-09-25,13,60,29,11,33,10,23,16,8,12
40,2020-10-02,40,106,30,15,31,14,31,26,3,25
