,Week ended,england_wales_total,england_wales_covid19,england_wales_non_covid,england_wales_pc_covid
0,2020-01-03,12229.0,0.0,12229.0,0.0
1,2020-01-10,14026.0,0.0,14026.0,0.0
2,2020-01-17,12961.0,0.0,12961.0,0.0
3,2020-01-24,11830.0,0.0,11830.0,0.0
4,2020-01-31,11593.0,0.0,11593.0,0.0
5,2020-02-07,10961.0,0.0,10961.0,0.0
6,2020-02-14,10918.0,0.0,10918.0,0.0
7,2020-02-21,10814.0,0.0,10814.0,0.0
8,2020-02-28,10790.0,0.0,10790.0,0.0
9,2020-03-06,10877.0,0.0,10877.0,0.0
10,2020-03-13,10992.0,5.0,10987.0,0.0004548762736535662
11,2020-03-20,10622.0,102.0,10520.0,0.009602711353794013
12,2020-03-27,11131.0,536.0,10595.0,0.0481538046896056
13,2020-04-03,16363.0,3464.0,12899.0,0.21169712155472714
14,2020-04-10,18491.0,6203.0,12288.0,0.3354604942945217
15,2020-04-17,22326.0,8744.0,13582.0,0.39165098987727315
16,2020-04-24,21965.0,8219.0,13746.0,0.37418620532665603
17,2020-05-01,17933.0,6029.0,11904.0,0.3361958400713768
18,2020-05-08,12638.0,3927.0,8711.0,0.3107295458142111
19,2020-05-15,14555.0,3804.0,10751.0,0.26135348677430437
20,2020-05-22,12278.0,2589.0,9689.0,0.21086496172014987
21,2020-05-29,9815.0,1820.0,7995.0,0.18543046357615894
22,2020-06-05,10695.0,1588.0,9107.0,0.14848059841047218
23,2020-06-12,9965.0,1114.0,8851.0,0.11179126944305068
24,2020-06-19,9333.0,783.0,8550.0,0.08389585342333655
25,2020-06-26,8966.0,604.0,8362.0,0.06736560339058666
26,2020-07-03,9126.0,532.0,8594.0,0.05829498137190445
27,2020-07-10,8675.0,366.0,8309.0,0.042190201729106626
28,2020-07-17,8812.0,295.0,8517.0,0.033477076713572404
29,2020-07-24,8882.0,216.0,8666.0,0.024318847106507543
30,2020-07-31,8935.0,193.0,8742.0,0.021600447677672076
31,2020-08-07,8928.0,152.0,8776.0,0.017025089605734768
32,2020-08-14,9384.0,139.0,9245.0,0.014812446717817562
33,2020-08-21,9615.0,137.0,9478.0,0.014248569942797712
34,2020-08-28,9016.0,100.0,8916.0,0.011091393078970719
35,2020-09-04,7720.0,78.0,7642.0,0.010103626943005182
36,2020-09-11,9793.0,98.0,9695.0,0.010007147962830594
37,2020-09-18,9510.0,139.0,9371.0,0.014616193480546793
38,2020-09-25,9622.0,215.0,9407.0,0.022344626896695075
39,2020-10-02,9928.0,321.0,9607.0,0.03233279613215149
40,2020-10-09,9946.0,438.0,9508.0,0.04403780414236879
41,2020-10-16,10521.0,669.0,9852.0,0.06358711149130311
42,2020-10-23,10731.0,978.0,9753.0,0.0911378249930109
43,2020-10-30,10878.0,1379.0,9499.0,0.12676962676962678
44,2020-11-06,11794.0,1937.0,9857.0,0.16423605222994744
45,2020-11-13,12237.0,2464.0,9773.0,0.2013565416360219
46,2020-11-20,12523.0,2694.0,9829.0,0.2151241715243951
47,2020-11-27,12442.0,3038.0,9404.0,0.24417296254621443
48,2020-12-04,12286.0,2830.0,9456.0,0.23034348038417712
49,2020-12-11,12274.0,2753.0,9521.0,0.2242952582695128
50,2020-12-18,12995.0,2985.0,10010.0,0.22970373220469412
51,2020-12-25,11505.0,2909.0,8596.0,0.2528465884398088
52,2021-01-01,10052.0,3141.0,6911.0,0.312475129327497
53,2021-01-08,17725.0,6051.0,11674.0,0.34138222849083216
54,2021-01-15,18015.0,7234.0,10781.0,0.4015542603386067
55,2021-01-22,18644.0,8403.0,10241.0,0.4507080025745548
56,2021-01-29,18429.0,8424.0,10005.0,0.457105648705844
57,2021-02-05,17162.0,7304.0,9858.0,0.42559142291108265
58,2021-02-12,15332.0,5680.0,9652.0,0.3704669971301852
59,2021-02-19,13782.0,4070.0,9712.0,0.29531272674502973
60,2021-02-26,12603.0,2910.0,9693.0,0.23089740537967152
61,2021-03-05,11571.0,2097.0,9474.0,0.18122893440497798
62,2021-03-12,10962.0,1496.0,9466.0,0.1364714468162744
63,2021-03-19,10294.0,961.0,9333.0,0.09335535263260152
64,2021-03-26,10032.0,719.0,9313.0,0.07167065390749601
65,2021-04-02,8189.0,400.0,7789.0,0.04884601294419343
66,2021-04-09,9088.0,379.0,8709.0,0.04170334507042254
67,2021-04-16,10426.0,360.0,10066.0,0.03452906196048341
68,2021-04-23,9928.0,258.0,9670.0,0.025987107171635777
69,2021-04-30,9676.0,205.0,9471.0,0.0211864406779661
70,2021-05-07,7972.0,129.0,7843.0,0.01618163572503763
71,2021-05-14,10152.0,151.0,10001.0,0.014873916469661151
72,2021-05-21,9849.0,107.0,9742.0,0.010864047111381865
73,2021-05-28,9616.0,95.0,9521.0,0.00987936772046589
74,2021-06-04,7766.0,98.0,7668.0,0.01261910893638939
75,2021-06-11,10190.0,84.0,10106.0,0.008243375858684985
76,2021-06-18,9447.0,102.0,9345.0,0.010797078437599238
77,2021-06-25,8678.0,98.0,8580.0,0.011292924637013136
78,2021-07-02,8796.0,109.0,8687.0,0.012391996361982719
79,2021-07-09,9731.0,179.0,9552.0,0.018394820676189496
80,2021-07-16,9683.0,217.0,9466.0,0.022410409996901786
81,2021-07-23,9730.0,324.0,9406.0,0.03329907502569373
82,2021-07-30,10122.0,402.0,9720.0,0.03971547125074096
83,2021-08-06,10171.0,524.0,9647.0,0.05151902467800609
84,2021-08-13,10350.0,569.0,9781.0,0.05497584541062802
85,2021-08-20,9999.0,569.0,9430.0,0.05690569056905691
86,2021-08-27,10246.0,665.0,9581.0,0.0649033769275815
87,2021-09-03,8776.0,657.0,8119.0,0.07486326344576116
88,2021-09-10,11019.0,851.0,10168.0,0.07723023867864598
89,2021-09-17,10990.0,849.0,10141.0,0.07725204731574159
90,2021-09-24,10668.0,887.0,9781.0,0.08314585676790401
91,2021-10-01,10486.0,779.0,9707.0,0.07428952889567042
92,2021-10-08,10781.0,663.0,10118.0,0.06149707819311752
93,2021-10-15,11157.0,711.0,10446.0,0.06372680828179618
94,2021-10-22,11288.0,789.0,10499.0,0.06989723600283487
95,2021-10-29,10973.0,858.0,10115.0,0.07819192563565114
96,2021-11-05,11525.0,990.0,10535.0,0.0859002169197397
97,2021-11-12,12030.0,1018.0,11012.0,0.08462177888611803
98,2021-11-19,12079.0,949.0,11130.0,0.07856610646576703
99,2021-11-26,11448.0,815.0,10633.0,0.07119147449336129
100,2021-12-03,11642.0,790.0,10852.0,0.06785775639924412
101,2021-12-10,11909.0,762.0,11147.0,0.063985221261231
102,2021-12-17,12381.0,753.0,11628.0,0.060818996850012116
103,2021-12-24,12983.0,846.0,12137.0,0.06516213509974582
104,2021-12-31,8465.0,581.0,7884.0,0.06863555818074424
105,2022-01-07,12246.0,918.0,11328.0,0.07496325330720235
106,2022-01-14,13283.0,1377.0,11906.0,0.10366634043514267
107,2022-01-21,12755.0,1480.0,11275.0,0.11603292826342611
108,2022-01-28,12382.0,1383.0,10999.0,0.11169439508964626
109,2022-02-04,11843.0,1238.0,10605.0,0.10453432407329225
110,2022-02-11,11545.0,1065.0,10480.0,0.09224772628843655
111,2022-02-18,11255.0,861.0,10394.0,0.076499333629498
112,2022-02-25,11134.0,765.0,10369.0,0.06870846057122328
113,2022-03-04,11212.0,669.0,10543.0,0.05966821262932572
114,2022-03-11,11201.0,668.0,10533.0,0.05963753236318186
115,2022-03-18,10913.0,680.0,10233.0,0.06231100522312838
116,2022-03-25,10726.0,779.0,9947.0,0.07262726086145814
117,2022-04-01,9818.0,850.0,8968.0,0.08657567732735791
118,2022-04-08,10670.0,959.0,9711.0,0.08987816307403937
119,2022-04-15,9900.0,1002.0,8898.0,0.10121212121212121
120,2022-04-22,10660.0,1040.0,9620.0,0.0975609756097561
121,2022-04-29,12421.0,1123.0,11298.0,0.0904114000483053
122,2022-05-06,9927.0,735.0,9192.0,0.07404049561801149
123,2022-05-13,12026.0,719.0,11307.0,0.05978712788957259
124,2022-05-20,11499.0,546.0,10953.0,0.04748238977302374
125,2022-05-27,10831.0,410.0,10421.0,0.03785430708152525
126,2022-06-03,6807.0,186.0,6621.0,0.027324812692816218
127,2022-06-10,11716.0,283.0,11433.0,0.024155001707067258
128,2022-06-17,10820.0,262.0,10558.0,0.02421441774491682
129,2022-06-24,10813.0,284.0,10529.0,0.026264681402016092
130,2022-07-01,10327.0,329.0,9998.0,0.031858235692844
131,2022-07-08,10209.0,421.0,9788.0,0.04123812322460574
132,2022-07-15,10485.0,583.0,9902.0,0.05560324272770625
133,2022-07-22,10947.0,743.0,10204.0,0.06787247647757376
134,2022-07-29,10981.0,807.0,10174.0,0.07349057462890447
135,2022-08-05,10684.0,721.0,9963.0,0.06748408835642082
136,2022-08-12,10331.0,591.0,9740.0,0.05720646597618817
137,2022-08-19,10951.0,549.0,10402.0,0.05013240799926948
138,2022-08-26,10915.0,451.0,10464.0,0.041319285387081996
139,2022-09-02,8846.0,314.0,8532.0,0.035496269500339135
140,2022-09-09,10724.0,363.0,10361.0,0.033849309958970536
141,2022-09-16,10652.0,300.0,10352.0,0.02816372512204281
142,2022-09-23,8730.0,234.0,8496.0,0.026804123711340205
143,2022-09-30,10943.0,287.0,10656.0,0.02622681166042219
144,2022-10-07,11181.0,400.0,10781.0,0.03577497540470441
145,2022-10-14,11673.0,563.0,11110.0,0.048230960335817696
146,2022-10-21,11916.0,687.0,11229.0,0.057653575025176235
147,2022-10-28,11227.0,649.0,10578.0,0.05780707223657255
148,2022-11-04,11770.0,649.0,11121.0,0.05514018691588785
149,2022-11-11,11505.0,518.0,10987.0,0.0450239026510213
150,2022-11-18,11547.0,422.0,11125.0,0.03654628907941457
151,2022-11-25,11461.0,348.0,11113.0,0.030363842596632058
152,2022-12-02,11284.0,316.0,10968.0,0.028004253810705423
153,2022-12-09,11666.0,326.0,11340.0,0.027944453968798216
154,2022-12-16,12368.0,390.0,11978.0,0.03153298835705045
155,2022-12-23,14491.0,429.0,14062.0,0.029604582154440687
156,2022-12-30,9491.0,392.0,9099.0,0.04130228637656727
