,Week ended,region,covid19 deaths,total deaths,pc deaths due to covid19
0,2020-01-03,North East,0,673,0.0
1,2020-01-10,North East,0,707,0.0
2,2020-01-17,North East,0,647,0.0
3,2020-01-24,North East,0,612,0.0
4,2020-01-31,North East,0,561,0.0
5,2020-02-07,North East,0,564,0.0
6,2020-02-14,North East,0,573,0.0
7,2020-02-21,North East,0,539,0.0
8,2020-02-28,North East,0,572,0.0
9,2020-03-06,North East,0,568,0.0
10,2020-03-13,North East,0,590,0.0
11,2020-03-20,North East,1,522,0.0019157088122605363
12,2020-03-27,North East,15,542,0.027675276752767528
13,2020-04-03,North East,134,770,0.17402597402597403
14,2020-04-10,North East,288,849,0.3392226148409894
15,2020-04-17,North East,475,1155,0.41125541125541126
16,2020-04-24,North East,419,1103,0.3798730734360834
17,2020-05-01,North East,316,922,0.34273318872017355
18,2020-05-08,North East,271,769,0.35240572171651496
19,2020-05-15,North East,248,845,0.293491124260355
20,2020-05-22,North East,202,718,0.28133704735376047
21,2020-05-29,North East,141,550,0.25636363636363635
22,2020-06-05,North East,113,576,0.19618055555555555
23,2020-06-12,North East,71,478,0.14853556485355648
24,2020-06-19,North East,30,498,0.060240963855421686
25,2020-06-26,North East,32,485,0.06597938144329897
26,2020-07-03,North East,28,515,0.05436893203883495
27,2020-07-10,North East,8,468,0.017094017094017096
28,2020-07-17,North East,8,445,0.017977528089887642
29,2020-07-24,North East,4,493,0.008113590263691683
30,2020-07-31,North East,5,507,0.009861932938856016
31,2020-08-07,North East,5,486,0.0102880658436214
32,2020-08-14,North East,5,520,0.009615384615384616
33,2020-08-21,North East,4,479,0.008350730688935281
34,2020-08-28,North East,2,455,0.004395604395604396
35,2020-09-04,North East,5,431,0.01160092807424594
36,2020-09-11,North East,3,502,0.00597609561752988
37,2020-09-18,North East,8,465,0.017204301075268817
38,2020-09-25,North East,13,514,0.02529182879377432
39,2020-10-02,North East,40,558,0.07168458781362007
40,2020-10-09,North East,60,544,0.11029411764705882
41,2020-10-16,North East,93,606,0.15346534653465346
42,2020-10-23,North East,114,600,0.19
43,2020-10-30,North East,118,591,0.1996615905245347
44,2020-11-06,North East,152,675,0.22518518518518518
45,2020-11-13,North East,180,711,0.25316455696202533
46,2020-11-20,North East,185,691,0.26772793053545585
47,2020-11-27,North East,220,679,0.3240058910162003
48,2020-12-04,North East,183,645,0.2837209302325581
49,2020-12-11,North East,147,661,0.22239031770045387
50,2020-12-18,North East,143,689,0.20754716981132076
51,2020-12-25,North East,180,669,0.26905829596412556
52,2021-01-01,North East,157,547,0.2870201096892139
53,2021-01-08,North East,229,858,0.2668997668997669
54,2021-01-15,North East,249,797,0.3124215809284818
55,2021-01-22,North East,279,836,0.33373205741626794
56,2021-01-29,North East,269,752,0.35771276595744683
57,2021-02-05,North East,258,742,0.3477088948787062
58,2021-02-12,North East,229,763,0.30013106159895153
59,2021-02-19,North East,165,677,0.24372230428360414
60,2021-02-26,North East,100,614,0.16286644951140064
61,2021-03-05,North East,86,581,0.14802065404475043
62,2021-03-12,North East,66,593,0.11129848229342328
63,2021-03-19,North East,38,523,0.07265774378585087
64,2021-03-26,North East,35,505,0.06930693069306931
65,2021-04-02,North East,16,449,0.035634743875278395
66,2021-04-09,North East,17,504,0.03373015873015873
67,2021-04-16,North East,14,544,0.025735294117647058
68,2021-04-23,North East,6,509,0.011787819253438114
69,2021-04-30,North East,13,501,0.02594810379241517
70,2021-05-07,North East,3,455,0.006593406593406593
71,2021-05-14,North East,6,548,0.010948905109489052
72,2021-05-21,North East,7,503,0.013916500994035786
73,2021-05-28,North East,1,548,0.0018248175182481751
74,2021-06-04,North East,2,435,0.004597701149425287
75,2021-06-11,North East,3,534,0.0056179775280898875
76,2021-06-18,North East,3,492,0.006097560975609756
77,2021-06-25,North East,2,462,0.004329004329004329
78,2021-07-02,North East,5,514,0.009727626459143969
79,2021-07-09,North East,8,487,0.01642710472279261
80,2021-07-16,North East,24,515,0.04660194174757282
81,2021-07-23,North East,24,565,0.04247787610619469
82,2021-07-30,North East,46,544,0.08455882352941177
83,2021-08-06,North East,55,580,0.09482758620689655
84,2021-08-13,North East,51,560,0.09107142857142857
85,2021-08-20,North East,30,540,0.05555555555555555
86,2021-08-27,North East,45,591,0.07614213197969544
87,2021-09-03,North East,38,476,0.07983193277310924
88,2021-09-10,North East,47,578,0.08131487889273356
89,2021-09-17,North East,46,518,0.0888030888030888
90,2021-09-24,North East,68,567,0.11992945326278659
91,2021-10-01,North East,61,608,0.10032894736842106
92,2021-10-08,North East,41,609,0.06732348111658457
93,2021-10-15,North East,45,541,0.08317929759704251
94,2021-10-22,North East,40,582,0.06872852233676977
95,2021-10-29,North East,53,614,0.08631921824104234
96,2021-11-05,North East,64,631,0.10142630744849446
97,2021-11-12,North East,64,656,0.0975609756097561
98,2021-11-19,North East,49,628,0.07802547770700637
99,2021-11-26,North East,34,564,0.06028368794326241
100,2021-12-03,North East,42,604,0.0695364238410596
101,2021-12-10,North East,37,670,0.05522388059701493
102,2021-12-17,North East,32,646,0.04953560371517028
103,2021-12-24,North East,51,722,0.07063711911357341
104,2021-12-31,North East,23,439,0.05239179954441914
105,2022-01-07,North East,41,619,0.06623586429725363
106,2022-01-14,North East,71,697,0.10186513629842181
107,2022-01-21,North East,82,660,0.12424242424242424
108,2022-01-28,North East,95,646,0.14705882352941177
109,2022-02-04,North East,99,678,0.14601769911504425
110,2022-02-11,North East,68,651,0.10445468509984639
111,2022-02-18,North East,54,634,0.08517350157728706
112,2022-02-25,North East,35,532,0.06578947368421052
113,2022-03-04,North East,27,596,0.04530201342281879
114,2022-03-11,North East,30,596,0.050335570469798654
115,2022-03-18,North East,20,613,0.03262642740619902
116,2022-03-25,North East,26,580,0.04482758620689655
117,2022-04-01,North East,34,545,0.062385321100917435
118,2022-04-08,North East,50,573,0.08726003490401396
119,2022-04-15,North East,50,554,0.09025270758122744
120,2022-04-22,North East,60,526,0.11406844106463879
121,2022-04-29,North East,43,620,0.06935483870967742
122,2022-05-06,North East,34,522,0.06513409961685823
123,2022-05-13,North East,32,606,0.052805280528052806
124,2022-05-20,North East,26,558,0.04659498207885305
125,2022-05-27,North East,19,532,0.03571428571428571
126,2022-06-03,North East,11,352,0.03125
127,2022-06-10,North East,16,585,0.02735042735042735
128,2022-06-17,North East,21,580,0.03620689655172414
129,2022-06-24,North East,15,557,0.026929982046678635
130,2022-07-01,North East,16,560,0.02857142857142857
131,2022-07-08,North East,21,557,0.03770197486535009
132,2022-07-15,North East,31,527,0.058823529411764705
133,2022-07-22,North East,31,562,0.05516014234875445
134,2022-07-29,North East,37,559,0.06618962432915922
135,2022-08-05,North East,45,600,0.075
136,2022-08-12,North East,28,523,0.05353728489483748
137,2022-08-19,North East,29,510,0.056862745098039215
138,2022-08-26,North East,28,528,0.05303030303030303
139,2022-09-02,North East,15,443,0.033860045146726865
140,2022-09-09,North East,12,528,0.022727272727272728
141,2022-09-16,North East,13,579,0.022452504317789293
142,2022-09-23,North East,10,437,0.02288329519450801
143,2022-09-30,North East,11,611,0.01800327332242226
144,2022-10-07,North East,21,539,0.03896103896103896
145,2022-10-14,North East,32,575,0.05565217391304348
146,2022-10-21,North East,33,615,0.05365853658536585
147,2022-10-28,North East,26,549,0.04735883424408015
148,2022-11-04,North East,34,657,0.0517503805175038
149,2022-11-11,North East,30,659,0.04552352048558422
150,2022-11-18,North East,27,597,0.04522613065326633
151,2022-11-25,North East,23,597,0.038525963149078725
152,2022-12-02,North East,12,605,0.019834710743801654
153,2022-12-09,North East,15,585,0.02564102564102564
154,2022-12-16,North East,15,657,0.0228310502283105
155,2022-12-23,North East,21,787,0.026683608640406607
156,2022-12-30,North East,9,585,0.015384615384615385
157,2020-01-03,North West,0,1806,0.0
158,2020-01-10,North West,0,1932,0.0
159,2020-01-17,North West,0,1696,0.0
160,2020-01-24,North West,0,1529,0.0
161,2020-01-31,North West,0,1461,0.0
162,2020-02-07,North West,0,1529,0.0
163,2020-02-14,North West,0,1427,0.0
164,2020-02-21,North West,0,1477,0.0
165,2020-02-28,North West,0,1476,0.0
166,2020-03-06,North West,0,1490,0.0
167,2020-03-13,North West,1,1472,0.0006793478260869565
168,2020-03-20,North West,12,1443,0.008316008316008316
169,2020-03-27,North West,60,1538,0.03901170351105332
170,2020-04-03,North West,418,2137,0.19560131024801122
171,2020-04-10,North West,909,2597,0.35001925298421255
172,2020-04-17,North West,1350,3195,0.4225352112676056
173,2020-04-24,North West,1207,3109,0.3882277259568993
174,2020-05-01,North West,910,2503,0.36356372353176186
175,2020-05-08,North West,597,1790,0.3335195530726257
176,2020-05-15,North West,620,1992,0.3112449799196787
177,2020-05-22,North West,394,1636,0.24083129584352078
178,2020-05-29,North West,282,1337,0.21091997008227376
179,2020-06-05,North West,250,1478,0.16914749661705006
180,2020-06-12,North West,196,1374,0.14264919941775836
181,2020-06-19,North West,134,1234,0.1085899513776337
182,2020-06-26,North West,120,1300,0.09230769230769231
183,2020-07-03,North West,100,1225,0.08163265306122448
184,2020-07-10,North West,62,1154,0.053726169844020795
185,2020-07-17,North West,47,1159,0.04055220017256255
