,Week ended,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
10,2020-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2020-03-13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0
12,2020-03-20,0,0,0,0,0,0,0,0,0,1,0,2,2,2,11,9,11,20,24,21
13,2020-03-27,0,0,0,0,0,0,1,4,3,0,8,9,16,30,42,57,84,97,102,86
14,2020-04-03,0,0,0,0,3,3,5,9,12,11,42,64,137,169,224,402,549,682,617,546
15,2020-04-10,0,0,0,0,3,5,8,7,19,32,75,126,208,333,427,677,973,1237,1091,992
16,2020-04-17,0,1,0,1,1,3,8,13,27,49,76,190,287,413,553,889,1197,1637,1739,1674
17,2020-04-24,0,0,0,0,0,4,9,20,17,53,82,139,240,362,458,731,1040,1575,1709,1798
18,2020-05-01,0,0,0,0,1,2,2,6,18,23,56,94,164,198,310,495,770,1096,1306,1494
19,2020-05-08,1,0,0,0,0,3,4,8,7,18,26,59,97,135,179,307,464,772,835,1015
20,2020-05-15,1,0,0,0,1,1,6,4,7,14,25,39,80,122,181,304,469,686,868,1002
21,2020-05-22,0,0,0,0,0,1,2,4,4,19,19,31,62,86,103,199,316,457,593,693
22,2020-05-29,0,0,0,1,0,1,1,0,2,2,11,18,41,53,66,157,210,381,410,468
