age,deaths,sex
0,2,male
0,0,female
01-04,1,female
01-04,0,male
05-09,0,female
05-09,0,male
10-14,1,female
10-14,1,male
15-19,4,female
15-19,5,male
20-24,9,female
20-24,14,male
25-29,16,female
25-29,30,male
30-34,46,male
30-34,29,female
35-39,50,female
35-39,66,male
40-44,82,female
40-44,140,male
45-49,158,female
45-49,262,male
50-54,283,female
50-54,488,male
55-59,433,female
55-59,901,male
60-64,1266,male
60-64,638,female
65-69,1676,male
65-69,878,female
70-74,1473,female
70-74,2755,male
75-79,3762,male
75-79,2323,female
80-84,4979,male
80-84,3662,female
85-89,4851,male
85-89,4443,female
90+,5805,female
90+,3984,male
