,Week ended,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,Eastern,London,South East,South West,Wales
1,2020-01-03,673,1806,1240,1060,1349,1162,1113,1814,1225,787
2,2020-01-10,707,1932,1339,1195,1450,1573,1272,2132,1487,939
3,2020-01-17,647,1696,1278,1106,1407,1457,1073,2064,1466,767
4,2020-01-24,612,1529,1187,1024,1231,1410,1028,1833,1253,723
5,2020-01-31,561,1461,1136,1015,1262,1286,1092,1820,1233,727
6,2020-02-07,564,1529,1072,922,1052,1259,987,1729,1157,690
7,2020-02-14,573,1427,1059,976,1159,1172,967,1688,1169,728
8,2020-02-21,539,1477,1087,924,1116,1167,1032,1675,1118,679
9,2020-02-28,572,1476,1078,919,1174,1115,1085,1587,1133,651
10,2020-03-06,568,1490,1112,930,1098,1149,982,1726,1170,652
11,2020-03-13,590,1472,1053,915,1187,1211,964,1751,1174,675
12,2020-03-20,522,1443,1012,947,1115,1043,1008,1657,1156,719
13,2020-03-27,542,1538,982,922,1035,1182,1297,1822,1092,719
14,2020-04-03,770,2137,1436,1246,1812,1717,2511,2294,1520,920
15,2020-04-10,849,2597,1503,1452,2182,1984,2832,2604,1560,928
16,2020-04-17,1155,3195,1960,1632,2536,2466,3275,3084,1854,1169
17,2020-04-24,1103,3109,2095,1711,2481,2299,2785,3334,1924,1124
18,2020-05-01,922,2503,1844,1418,1975,1982,1953,2853,1554,929
19,2020-05-08,769,1790,1328,1094,1326,1321,1213,1887,1218,692
20,2020-05-15,845,1992,1589,1283,1502,1543,1329,2251,1449,772
21,2020-05-22,718,1636,1236,1041,1319,1397,1125,1937,1177,692
22,2020-05-29,550,1337,1046,863,970,1095,841,1515,1011,587
23,2020-06-05,576,1478,1090,931,1172,1131,891,1610,1116,700
24,2020-06-12,478,1374,980,967,1096,1048,883,1530,1035,574
25,2020-06-19,498,1234,952,835,973,927,896,1411,990,617
26,2020-06-26,485,1300,922,800,946,880,791,1311,979,552
27,2020-07-03,515,1225,875,827,949,922,837,1454,938,584
28,2020-07-10,468,1154,848,771,902,999,803,1228,930,572
29,2020-07-17,445,1159,843,816,956,945,806,1339,953,550
30,2020-07-24,493,1197,817,798,964,951,816,1340,941,565
31,2020-07-31,507,1272,837,729,902,949,773,1447,988,531
32,2020-08-07,486,1211,851,798,933,955,832,1370,929,563
33,2020-08-14,520,1304,853,829,923,1006,928,1395,1009,617
34,2020-08-21,479,1269,870,780,1028,1024,920,1608,1043,594
35,2020-08-28,455,1148,922,724,945,951,810,1511,959,591
36,2020-09-04,431,1057,780,640,770,806,737,1208,803,488
37,2020-09-11,502,1229,952,867,1021,1052,898,1610,1084,578
38,2020-09-18,465,1287,939,795,1051,1023,844,1530,1021,555
39,2020-09-25,514,1271,965,825,1036,963,869,1521,1041,617
40,2020-10-02,558,1301,978,842,1045,1054,899,1577,1003,671
41,2020-10-09,544,1367,1067,884,1053,1019,902,1462,1010,638
42,2020-10-16,606,1553,1001,904,1154,1056,923,1462,1174,688
43,2020-10-23,600,1714,1111,891,1124,1154,922,1510,1044,661
44,2020-10-30,591,1754,1168,882,1102,1089,888,1563,1129,712
45,2020-11-06,675,1900,1294,990,1186,1177,952,1614,1174,832
46,2020-11-13,711,1950,1350,1099,1317,1172,1112,1616,1168,742
47,2020-11-20,691,1935,1441,1105,1385,1186,1086,1687,1159,848
48,2020-11-27,679,1791,1501,1218,1358,1159,1012,1655,1272,797
49,2020-12-04,645,1679,1403,1121,1340,1229,1029,1720,1284,836
50,2020-12-11,661,1691,1326,1199,1432,1224,1065,1706,1156,814
51,2020-12-18,689,1718,1380,1199,1385,1317,1167,1947,1311,882
52,2020-12-25,669,1463,1130,1097,1217,1198,1090,1701,1115,825
53,2021-01-01,547,1346,886,842,1024,997,1159,1595,929,727
1,2021-01-08,858,2090,1640,1414,1785,2082,2138,2950,1570,1198
2,2021-01-15,797,2112,1408,1402,1820,2240,2346,3127,1593,1170
3,2021-01-22,836,2202,1426,1496,1925,2267,2417,3328,1670,1077
4,2021-01-29,752,2191,1485,1403,1926,2350,2302,3271,1775,974
5,2021-02-05,742,2162,1326,1406,1886,2166,1922,2941,1708,903
6,2021-02-12,763,2002,1274,1456,1670,1866,1545,2446,1550,760
7,2021-02-19,677,1920,1261,1244,1592,1581,1367,2047,1306,787
8,2021-02-26,614,1659,1196,1092,1401,1403,1261,1988,1230,759
